Train_No,Train_Name,Avg_Speed,Rating,Punctuality,Cleanliness,Food,Availability,Safety
12951/12952,Mumbai Tejas - Rajdhani Special,90,4.6,Excellent,Excellent,Good,Good,Excellent
12953/12954,August Kranti Tejas Rajdhani Special,79,4.6,Excellent,Excellent,Good,Good,Excellent
20501/20502,Agartala Tejas Rajdhani Special,59,4.2,Good,Excellent,Good,Good,Excellent
12001/12002,Habibganj - New Delhi Shatabdi Express,89,4.6,Good,Excellent,Good,Excellent,Excellent
12259/12260,Sealdah - Bikaner Duronto Express,85,4.6,Good,Excellent,Good,Excellent,Excellent
12951/12952,Mumbai Rajdhani Express,91.3,4.6,Excellent,Excellent,Good,Good,Excellent
22119/22120,Mumbai CSMT - Karmali Tejas Express,66.8,4.6,Excellent,Excellent,Good,Good,Excellent
82501/82502,Lucknow - New Delhi Tejas Express,83,3.9,Good,Good,Good,Good,Excellent
22671/22672,Chennai Egmore - Madurai Tejas Express,78,4.4,Excellent,Good,Good,Good,Excellent
82901/82902,Ahmedabad - Mumbai Central Tejas Express,78,3.9,Good,Good,Good,Good,Good
12301/12302,Howrah Rajdhani Express (via Gaya),85,4.6,Excellent,Excellent,Good,Good,Excellent
12305/12306,Howrah Rajdhani Express (via Patna),85,4.6,Excellent,Excellent,Good,Good,Excellent
12019/12020,Howrah - Ranchi Shatabdi Express,74,5,Excellent,Excellent,Excellent,Excellent,Excellent
82355/82356,Patna - Mumbai CST Suvidha Superfast Express,63,4.8,Excellent,Excellent,Good,Excellent,Excellent
12909/12910,Bandra Terminus - Hazrat Nizamuddin Garib Rath Express,82,4.2,Excellent,Good,Good,Good,Good
12267/12268,Mumbai Central - Rajkot Duronto Express,76,3.8,Good,Good,Good,Good,Good
12059/12060,Kota - Hazrat Nizamuddin Jan Shatabdi Express,71,4.8,Excellent,Excellent,Good,Excellent,Excellent
12907/12908,Maharashtra Sampark Kranti Express,69,4.8,Excellent,Excellent,Good,Excellent,Excellent
12931/12932,Mumbai Central - Ahmedabad Double Decker Express,69,4.6,Good,Excellent,Good,Excellent,Excellent
20805/20806,Visakhapatnam - New Delhi AP Express,76,4.2,Good,Good,Good,Excellent,Good
12451/12452,Shram Shakti Express,67,4.5,Excellent,Excellent,Good,Good,Excellent
17235/17236,KSR Bengaluru - Nagercoil Express,45,3.6,Good,Good,Average,Good,Good
12049/12050,Gatimaan Express,,,,,,,
